,Target_Variable,Target_Overweight,Target_Included,Items_Per_Scale,Predictions,mse,hit_0_trained,hit_1_trained,hit_0_untrained,hit_1_untrained
822,O5,1,TRUE,9,O5 ~ A3 + A5 + A2 + A4 + A8 + A10 + A7 + A9 + A6 + C5 + C3 + C4 + C9 + C6 + C2 + C10 + C7 + C1 + E6 + E3 + E5 + E10 + E8 + E2 + E9 + E7 + E1 + N2 + N5 + N9 + N10 + N4 + N3 + N6 + N7 + N8 + O8 + O1 + O3 + O2 + O4 + O4 + O7 + O6 + O10,"0,361439488","0,647657841","0,980312288","0,756577831","0,989305721"
823,O5,1,TRUE,9,O5 ~ A4 + A5 + A7 + A6 + A9 + A1 + A3 + A8 + A2 + C3 + C6 + C10 + C1 + C4 + C9 + C2 + C8 + C7 + E6 + E10 + E9 + E8 + E5 + E3 + E1 + E7 + E2 + N1 + N3 + N6 + N9 + N2 + N8 + N7 + N5 + N10 + O7 + O10 + O8 + O9 + O3 + O2 + O1 + O4 + O1,"0,357258552","0,654446707","0,982348948","0,755219827","0,990493974"
824,O5,1,TRUE,9,O5 ~ A3 + A5 + A2 + A4 + A1 + A6 + A8 + A10 + A9 + C5 + C7 + C4 + C10 + C3 + C9 + C8 + C2 + C1 + E9 + E8 + E5 + E4 + E7 + E2 + E10 + E6 + E3 + N5 + N1 + N2 + N4 + N7 + N6 + N8 + N3 + N10 + O2 + O8 + O6 + O4 + O9 + O10 + O1 + O3 + O7,"0,361969518","0,651731161","0,982348948","0,759633339","0,989645222"
825,O5,1,TRUE,9,O5 ~ A10 + A8 + A5 + A7 + A9 + A1 + A6 + A3 + A4 + C4 + C2 + C6 + C10 + C7 + C9 + C8 + C5 + C3 + E10 + E3 + E2 + E9 + E7 + E5 + E6 + E1 + E8 + N9 + N1 + N3 + N8 + N10 + N4 + N7 + N5 + N6 + O6 + O4 + O3 + O8 + O7 + O10 + O9 + O4 + O1,"0,365290337","0,644263408","0,980312288","0,755389577","0,989305721"
826,O5,1,FALSE,9,O5 ~ A9 + A5 + A1 + A7 + A10 + A3 + A8 + A6 + A4 + C8 + C6 + C10 + C3 + C1 + C4 + C7 + C2 + C5 + E2 + E10 + E8 + E9 + E1 + E6 + E7 + E4 + E5 + N2 + N7 + N10 + N1 + N3 + N6 + N4 + N5 + N8,"0,474155918","0,553292600","0,966734555","0,679341368","0,981836700"
827,O5,1,FALSE,9,O5 ~ A5 + A1 + A10 + A4 + A8 + A3 + A7 + A6 + A2 + C10 + C8 + C6 + C1 + C7 + C2 + C9 + C3 + C5 + E10 + E4 + E5 + E7 + E9 + E1 + E8 + E2 + E6 + N10 + N3 + N1 + N2 + N8 + N5 + N6 + N7 + N4,"0,476512258","0,541072641","0,966734555","0,679680869","0,982006451"
828,O5,1,FALSE,9,O5 ~ A6 + A9 + A10 + A5 + A1 + A8 + A3 + A4 + A2 + C5 + C9 + C2 + C8 + C3 + C7 + C6 + C1 + C10 + E10 + E6 + E5 + E2 + E3 + E8 + E1 + E9 + E4 + N8 + N2 + N5 + N4 + N9 + N1 + N3 + N6 + N10,"0,475641381","0,547182621","0,968092329","0,679680869","0,982685452"
829,O5,1,FALSE,9,O5 ~ A2 + A8 + A10 + A6 + A5 + A1 + A9 + A3 + A4 + C8 + C5 + C9 + C2 + C10 + C6 + C4 + C7 + C1 + E6 + E7 + E5 + E4 + E1 + E10 + E2 + E8 + E3 + N3 + N8 + N2 + N1 + N10 + N5 + N7 + N6 + N9,"0,494728561","0,545145961","0,966734555","0,673569852","0,981497199"
830,O5,1,FALSE,9,O5 ~ A3 + A1 + A10 + A9 + A6 + A8 + A2 + A5 + A7 + C6 + C5 + C1 + C10 + C4 + C9 + C7 + C3 + C2 + E4 + E1 + E5 + E3 + E6 + E8 + E2 + E10 + E9 + N4 + N7 + N2 + N10 + N5 + N1 + N9 + N3 + N8,"0,478490803","0,555329260","0,964697895","0,680699372","0,981157698"
831,O6,1,TRUE,1,O6 ~ A2 + C8 + E4 + N8 + O10,"0,973182491","0,464358452","0,869653768","0,489051095","0,889662197"
